PI	Project Number	Sample ID	Total Reads	Average Q-Score	Percent 5x Coverage	Percent 10x Coverage	Percent 20x Coverage	Percent 30x Coverage
Marcie Garrett	9010	9010-MG-12	51835	27	99	89	79	60
Marley Hodges	9011	9011-MH-1	53133	23	97	91	70	66
Marley Hodges	9011	9011-MH-2	59071	22	99	90	74	64
Marley Hodges	9011	9011-MH-3	51335	25	95	86	80	62
Marley Hodges	9011	9011-MH-4	52935	29	99	89	83	68
Marley Hodges	9011	9011-MH-5	55570	26	97	89	77	61
Marley Hodges	9011	9011-MH-6	54931	26	97	89	80	62
Marley Hodges	9011	9011-MH-7	52203	23	99	85	71	65
Marley Hodges	9011	9011-MH-8	56485	26	95	87	71	63
Marley Hodges	9012	9012-MH-1	56010	29	99	94	79	64
Marley Hodges	9012	9012-MH-2	57133	24	97	94	77	67
Marley Hodges	9012	9012-MH-3	52822	23	98	92	78	69
Marley Hodges	9012	9012-MH-4	58517	28	99	91	73	60
Marley Hodges	9012	9012-MH-5	53518	29	99	94	70	61
Marley Hodges	9012	9012-MH-6	55535	26	98	94	79	68
Marley Hodges	9012	9012-MH-7	54931	29	99	85	78	66
Marley Hodges	9012	9012-MH-8	56387	27	99	86	75	63
Marley Hodges	9012	9012-MH-9	52349	27	99	93	71	68
Marcie Garrett	9013	9013-MG-1	58318	23	96	85	78	69
Marcie Garrett	9013	9013-MG-2	52162	22	97	88	78	61
Ruadhi Gilliam	9014	9014-RG-1	53208	24	95	94	80	63
Mike Bordie	9015	9015-MB-1	55952	21	99	93	75	65
Mike Bordie	9015	9015-MB-2	54367	23	98	86	79	67
Mike Bordie	9015	9015-MB-3	54688	28	98	85	78	62
Mike Bordie	9015	9015-MB-4	50419	28	98	90	71	67
Mike Bordie	9015	9015-MB-5	58462	26	98	93	78	63
Mike Bordie	9015	9015-MB-6	53882	24	95	91	76	64
Mike Bordie	9015	9015-MB-7	51305	24	98	85	82	61
Mike Bordie	9015	9015-MB-8	56459	20	96	93	75	67
Mike Bordie	9015	9015-MB-9	54829	23	96	90	84	62
Mike Bordie	9015	9015-MB-10	59697	29	96	94	77	60
Mike Bordie	9015	9015-MB-11	56062	20	96	94	71	67
Mike Bordie	9015	9015-MB-12	50196	28	96	94	83	65
Mike Bordie	9015	9015-MB-13	57488	25	99	86	73	61
Mike Bordie	9015	9015-MB-14	58350	29	95	89	70	63
Mike Bordie	9015	9015-MB-15	54530	26	98	94	79	61
Mike Bordie	9015	9015-MB-16	50633	29	98	88	70	69
Mike Bordie	9015	9015-MB-17	54660	26	98	90	71	60
Mike Bordie	9015	9015-MB-18	58730	23	95	93	81	69
Mike Bordie	9015	9015-MB-19	58586	29	97	94	74	67
Mike Bordie	9015	9015-MB-20	56946	22	95	93	84	63
Mike Bordie	9015	9015-MB-21	56903	29	99	89	81	67
Mike Bordie	9015	9015-MB-22	50354	25	97	90	83	66
Marcie Garrett	9016	9016-MG-1	52454	22	95	87	74	68
Marcie Garrett	9016	9016-MG-2	52746	25	95	88	82	65
Marcie Garrett	9016	9016-MG-3	59783	25	96	91	70	64
Marcie Garrett	9016	9016-MG-4	58934	29	98	86	76	63
Marcie Garrett	9016	9016-MG-5	57080	28	97	94	74	63
Marcie Garrett	9016	9016-MG-6	55170	26	95	94	72	60
Marcie Garrett	9016	9016-MG-7	53285	22	95	86	73	61
Marcie Garrett	9016	9016-MG-8	58022	29	97	94	74	60
Marcie Garrett	9016	9016-MG-9	50629	20	99	94	75	62
Marcie Garrett	9016	9016-MG-10	51617	20	96	85	74	65
Marcie Garrett	9016	9016-MG-11	51293	26	97	87	81	64
Marcie Garrett	9016	9016-MG-12	54487	28	99	92	76	64
Marcie Garrett	9016	9016-MG-13	51126	25	99	94	83	65
Marcie Garrett	9016	9016-MG-14	57947	24	95	93	84	65
Marcie Garrett	9016	9016-MG-15	59973	22	98	94	79	62
Marcie Garrett	9016	9016-MG-16	55648	29	98	92	74	66
Marcie Garrett	9016	9016-MG-17	57237	21	99	87	78	60
Marcie Garrett	9016	9016-MG-18	59535	23	97	88	81	67
Marcie Garrett	9017	9017-MG-1	51995	23	97	90	78	60
Marcie Garrett	9017	9017-MG-2	59366	29	95	92	76	61
Marcie Garrett	9017	9017-MG-3	57109	22	99	87	82	60
Marcie Garrett	9017	9017-MG-4	51244	21	97	90	76	65
Marley Hodges	9018	9018-MH-1	56456	20	98	92	82	67
Marley Hodges	9018	9018-MH-2	50570	26	95	93	77	60
Marley Hodges	9018	9018-MH-3	55634	22	95	91	82	66
Marley Hodges	9018	9018-MH-4	54232	22	97	91	76	69
Marley Hodges	9018	9018-MH-5	56350	28	97	93	73	64
Marley Hodges	9018	9018-MH-6	52108	24	96	92	76	62
Marley Hodges	9018	9018-MH-7	59812	23	98	85	73	69
Marley Hodges	9018	9018-MH-8	58115	23	97	90	80	66
Marley Hodges	9018	9018-MH-9	54825	21	97	93	70	66
Marley Hodges	9018	9018-MH-10	50410	23	99	88	80	67
Marley Hodges	9018	9018-MH-11	56762	26	97	87	84	66
Marley Hodges	9018	9018-MH-12	50487	29	96	93	78	61
Marley Hodges	9018	9018-MH-13	56826	29	97	86	72	60
Marley Hodges	9018	9018-MH-14	55747	22	95	92	84	67
Marley Hodges	9018	9018-MH-15	59735	23	98	87	79	64
Marley Hodges	9018	9018-MH-16	59483	21	95	88	81	62
Marley Hodges	9018	9018-MH-17	52658	28	97	93	83	67
Marley Hodges	9018	9018-MH-18	59533	21	99	85	73	67
Marley Hodges	9018	9018-MH-19	58169	25	97	87	75	68
Ruadhi Gilliam	9019	9019-RG-1	52129	21	95	87	84	65
Ruadhi Gilliam	9019	9019-RG-2	50981	26	99	86	76	60
Ruadhi Gilliam	9019	9019-RG-3	56748	24	95	87	73	65
Ruadhi Gilliam	9019	9019-RG-4	53420	24	97	93	78	69
Ruadhi Gilliam	9019	9019-RG-5	53501	29	99	86	76	61
Ruadhi Gilliam	9019	9019-RG-6	55452	25	96	86	73	61
Ruadhi Gilliam	9019	9019-RG-7	53367	29	95	90	73	69
Ruadhi Gilliam	9019	9019-RG-8	54951	24	95	85	72	62
Ruadhi Gilliam	9019	9019-RG-9	57945	27	96	89	71	65
Marley Hodges	9020	9020-MH-1	52741	26	97	87	74	69
Marley Hodges	9020	9020-MH-2	52856	22	95	88	78	67
Marley Hodges	9020	9020-MH-3	57914	27	97	89	80	65
Marley Hodges	9020	9020-MH-4	54475	26	98	91	76	66
Marley Hodges	9020	9020-MH-5	56074	26	98	90	71	66
Marley Hodges	9020	9020-MH-6	59814	29	97	87	72	63
Marley Hodges	9020	9020-MH-7	55718	20	98	87	75	69
Marley Hodges	9020	9020-MH-8	56261	23	95	88	73	64
Marley Hodges	9020	9020-MH-9	52769	23	99	94	73	67
Marley Hodges	9020	9020-MH-10	56727	26	98	86	84	65
Marley Hodges	9020	9020-MH-11	57126	28	96	90	74	62
Marley Hodges	9020	9020-MH-12	51813	28	97	94	79	68
Marley Hodges	9020	9020-MH-13	52475	24	98	91	72	66
Marley Hodges	9020	9020-MH-14	50001	27	99	87	76	68
Marley Hodges	9020	9020-MH-15	54984	20	95	88	82	68
Marley Hodges	9020	9020-MH-16	58443	27	95	89	80	69
Marley Hodges	9020	9020-MH-17	56270	21	99	93	72	67
Marley Hodges	9020	9020-MH-18	55113	23	97	85	79	67
Marley Hodges	9020	9020-MH-19	58747	20	99	87	71	63
Marley Hodges	9020	9020-MH-20	52614	26	96	88	83	65
Marley Hodges	9020	9020-MH-21	59307	20	99	93	81	65
Marley Hodges	9020	9020-MH-22	55144	24	95	92	70	67
Mike Bordie	9021	9021-MB-1	55126	20	96	93	75	64
Mike Bordie	9021	9021-MB-2	56440	27	99	92	77	63
Mike Bordie	9021	9021-MB-3	57710	21	95	90	83	60
Mike Bordie	9021	9021-MB-4	59970	24	98	86	77	69
Mike Bordie	9021	9021-MB-5	54301	25	98	94	82	64
Mike Bordie	9021	9021-MB-6	57406	23	98	90	83	64
Mike Bordie	9021	9021-MB-7	50448	21	96	86	76	69
Mike Bordie	9021	9021-MB-8	52413	29	97	93	73	66
Mike Bordie	9021	9021-MB-9	57386	27	96	89	82	60
Mike Bordie	9021	9021-MB-10	57686	28	97	87	71	63
Mike Bordie	9021	9021-MB-11	56885	28	97	86	79	64
Marley Hodges	9022	9022-MH-1	52318	28	97	90	84	61
Marley Hodges	9022	9022-MH-2	58228	23	97	93	74	61
Marley Hodges	9022	9022-MH-3	57124	22	98	89	76	64
Marley Hodges	9022	9022-MH-4	57842	26	96	92	80	69
Marley Hodges	9022	9022-MH-5	52468	24	95	86	82	60
Marley Hodges	9022	9022-MH-6	54094	26	95	91	81	61
Marley Hodges	9022	9022-MH-7	54622	26	99	91	71	62
Marley Hodges	9022	9022-MH-8	52741	25	97	90	83	63
Marley Hodges	9022	9022-MH-9	54311	20	99	86	74	68
Marley Hodges	9022	9022-MH-10	58776	27	99	88	74	68
Marley Hodges	9022	9022-MH-11	50933	29	99	87	75	65
Marley Hodges	9022	9022-MH-12	58353	26	99	92	76	63
Marley Hodges	9022	9022-MH-13	54462	22	96	89	72	66
Marley Hodges	9022	9022-MH-14	57873	23	95	94	78	64
Marley Hodges	9022	9022-MH-15	57211	29	99	88	83	64
Marley Hodges	9022	9022-MH-16	59543	27	96	92	82	68
Ruadhi Gilliam	9023	9023-RG-1	52893	24	95	92	78	65
Ruadhi Gilliam	9023	9023-RG-2	59335	27	99	90	81	60
Mike Bordie	9024	9024-MB-1	57284	26	98	85	71	65
Mike Bordie	9024	9024-MB-2	50781	21	95	91	78	69
Mike Bordie	9024	9024-MB-3	57916	22	95	86	78	66
Mike Bordie	9024	9024-MB-4	58651	22	97	85	83	60
Mike Bordie	9024	9024-MB-5	59493	21	95	87	71	67
Mike Bordie	9024	9024-MB-6	54225	22	99	93	77	68
Mike Bordie	9024	9024-MB-7	56144	27	99	91	76	62
Marley Hodges	9025	9025-MH-1	58667	20	97	85	79	65
Marley Hodges	9025	9025-MH-2	56286	25	96	85	84	69
Marley Hodges	9025	9025-MH-3	55342	26	97	87	71	65
Marley Hodges	9025	9025-MH-4	59844	27	99	94	81	62
Marley Hodges	9025	9025-MH-5	56778	23	97	91	70	60
Marley Hodges	9025	9025-MH-6	58261	20	97	94	75	66
Marley Hodges	9025	9025-MH-7	52872	26	99	92	84	68
Marley Hodges	9025	9025-MH-8	51641	27	96	94	77	60
Marley Hodges	9025	9025-MH-9	58926	28	95	92	81	61
Marley Hodges	9025	9025-MH-10	53009	25	98	85	76	65
Marley Hodges	9025	9025-MH-11	58273	26	97	91	84	66
Marley Hodges	9025	9025-MH-12	53955	27	96	93	71	64
Marley Hodges	9025	9025-MH-13	59161	22	96	94	73	68
Marley Hodges	9025	9025-MH-14	53544	20	96	85	83	60
Marley Hodges	9025	9025-MH-15	59547	25	95	90	76	68
Marley Hodges	9025	9025-MH-16	52384	21	99	94	77	68
Marley Hodges	9025	9025-MH-17	52365	27	96	88	80	68
Marley Hodges	9025	9025-MH-18	58585	24	99	87	80	61
Marley Hodges	9025	9025-MH-19	53375	23	99	91	82	60
Marley Hodges	9025	9025-MH-20	55703	20	95	87	82	61
Marley Hodges	9025	9025-MH-21	58674	24	98	91	72	67
Marley Hodges	9025	9025-MH-22	54832	21	98	85	78	60
Marcie Garrett	9026	9026-MG-1	50620	29	97	85	70	66
Marcie Garrett	9026	9026-MG-2	58079	26	96	87	78	66
Marcie Garrett	9026	9026-MG-3	58002	27	96	88	70	69
Marcie Garrett	9026	9026-MG-4	52939	20	99	90	74	68
Marcie Garrett	9026	9026-MG-5	54152	29	98	94	76	67
Marcie Garrett	9026	9026-MG-6	53580	23	98	91	73	63
Marcie Garrett	9026	9026-MG-7	52469	26	95	93	73	65
Marcie Garrett	9026	9026-MG-8	54009	22	95	93	73	63
Marcie Garrett	9026	9026-MG-9	56841	29	97	91	82	67
Marcie Garrett	9026	9026-MG-10	54723	28	98	92	76	62
Marcie Garrett	9026	9026-MG-11	54210	20	96	92	77	62
Marcie Garrett	9026	9026-MG-12	55473	22	99	94	73	64
Marcie Garrett	9026	9026-MG-13	56711	28	95	93	82	65
Marcie Garrett	9026	9026-MG-14	51252	23	97	90	79	69
Marcie Garrett	9026	9026-MG-15	52943	26	98	92	80	69
Marcie Garrett	9026	9026-MG-16	53988	25	98	90	75	68
Marcie Garrett	9026	9026-MG-17	56039	27	95	88	73	67
Marcie Garrett	9026	9026-MG-18	50518	29	97	92	74	65
Marcie Garrett	9026	9026-MG-19	53449	26	96	87	77	62
Marcie Garrett	9026	9026-MG-20	58143	21	95	90	71	68
Marcie Garrett	9026	9026-MG-21	53047	28	96	93	84	67
Marcie Garrett	9026	9026-MG-22	58471	23	98	91	81	61
Marcie Garrett	9026	9026-MG-23	55481	27	95	85	79	69
Marcie Garrett	9026	9026-MG-24	50838	26	99	88	83	66
Ruadhi Gilliam	9027	9027-RG-1	56737	29	96	90	70	60
Ruadhi Gilliam	9027	9027-RG-2	57754	29	99	85	73	68
Ruadhi Gilliam	9027	9027-RG-3	54658	29	97	87	77	68
Ruadhi Gilliam	9027	9027-RG-4	57462	26	96	93	81	60
Ruadhi Gilliam	9027	9027-RG-5	50915	20	97	85	84	61
Ruadhi Gilliam	9027	9027-RG-6	54171	21	95	88	84	66
Ruadhi Gilliam	9027	9027-RG-7	56484	29	97	89	79	62
Ruadhi Gilliam	9027	9027-RG-8	58431	24	96	90	70	66
Ruadhi Gilliam	9027	9027-RG-9	54266	25	96	93	82	62
Ruadhi Gilliam	9027	9027-RG-10	51695	28	98	86	77	69
Ruadhi Gilliam	9027	9027-RG-11	52351	27	96	88	84	60
Ruadhi Gilliam	9027	9027-RG-12	55083	26	98	85	79	65
Ruadhi Gilliam	9027	9027-RG-13	54591	20	97	85	82	67
Ruadhi Gilliam	9027	9027-RG-14	52545	27	97	85	83	61
Ruadhi Gilliam	9027	9027-RG-15	53439	25	97	94	79	66
Ruadhi Gilliam	9027	9027-RG-16	57145	26	96	89	72	64
Ruadhi Gilliam	9027	9027-RG-17	51006	28	99	92	82	68
Ruadhi Gilliam	9027	9027-RG-18	57766	28	98	93	80	68
Ruadhi Gilliam	9027	9027-RG-19	51407	29	96	86	76	64
Ruadhi Gilliam	9027	9027-RG-20	53963	28	98	86	72	61
Mike Bordie	9028	9028-MB-1	53901	27	96	89	71	69
Mike Bordie	9028	9028-MB-2	50375	29	95	92	73	67
Mike Bordie	9028	9028-MB-3	56514	28	99	86	80	66
Mike Bordie	9028	9028-MB-4	56126	23	96	88	81	69
Mike Bordie	9028	9028-MB-5	57593	21	99	88	70	63
Mike Bordie	9028	9028-MB-6	53831	27	96	89	78	65
Mike Bordie	9028	9028-MB-7	52557	25	97	88	78	66
Mike Bordie	9028	9028-MB-8	55133	24	97	94	81	65
Mike Bordie	9028	9028-MB-9	50591	27	99	85	77	69
Mike Bordie	9028	9028-MB-10	58180	27	96	89	71	68
Mike Bordie	9028	9028-MB-11	57745	21	98	87	70	67
Mike Bordie	9028	9028-MB-12	57817	22	97	88	70	63
Mike Bordie	9028	9028-MB-13	59981	26	97	94	83	61
Mike Bordie	9028	9028-MB-14	50097	25	98	86	81	64
Mike Bordie	9028	9028-MB-15	54465	29	97	89	81	60
Mike Bordie	9028	9028-MB-16	55652	22	99	93	80	67
Ruadhi Gilliam	9029	9029-RG-1	53292	22	99	86	71	69
Ruadhi Gilliam	9029	9029-RG-2	50930	28	96	94	83	63
Ruadhi Gilliam	9029	9029-RG-3	57027	25	97	90	75	60
Ruadhi Gilliam	9029	9029-RG-4	57299	20	97	90	71	62
Ruadhi Gilliam	9029	9029-RG-5	58649	23	95	87	76	67
Ruadhi Gilliam	9029	9029-RG-6	50709	22	96	94	83	60
Ruadhi Gilliam	9029	9029-RG-7	56135	28	99	92	82	60
Ruadhi Gilliam	9029	9029-RG-8	54735	20	99	91	70	68
Ruadhi Gilliam	9029	9029-RG-9	54460	28	96	91	74	68
Ruadhi Gilliam	9029	9029-RG-10	55034	29	98	88	81	69
Ruadhi Gilliam	9029	9029-RG-11	53412	20	95	85	72	67
Ruadhi Gilliam	9029	9029-RG-12	58452	25	99	91	83	62
Ruadhi Gilliam	9029	9029-RG-13	54321	27	96	91	80	60
Ruadhi Gilliam	9029	9029-RG-14	50823	21	96	92	73	62
Ruadhi Gilliam	9030	9030-RG-1	51375	28	99	88	72	65
Ruadhi Gilliam	9030	9030-RG-2	53912	26	97	86	70	64
Ruadhi Gilliam	9030	9030-RG-3	55706	24	99	89	75	64
Ruadhi Gilliam	9030	9030-RG-4	50613	24	95	94	76	66
Ruadhi Gilliam	9030	9030-RG-5	55521	25	98	90	72	60
Ruadhi Gilliam	9030	9030-RG-6	53457	29	99	86	80	62
Ruadhi Gilliam	9030	9030-RG-7	53593	23	99	93	82	61
Ruadhi Gilliam	9030	9030-RG-8	56530	29	98	87	75	62
Ruadhi Gilliam	9030	9030-RG-9	54767	21	95	89	75	61
Ruadhi Gilliam	9030	9030-RG-10	55098	27	99	92	82	61
Ruadhi Gilliam	9030	9030-RG-11	50872	21	97	88	71	66
Ruadhi Gilliam	9030	9030-RG-12	50125	24	99	87	73	69
Ruadhi Gilliam	9030	9030-RG-13	59979	21	95	91	75	61
Ruadhi Gilliam	9030	9030-RG-14	57305	26	98	87	74	64
Ruadhi Gilliam	9030	9030-RG-15	58897	20	99	88	79	69
Ruadhi Gilliam	9030	9030-RG-16	58946	26	98	89	82	62
Ruadhi Gilliam	9030	9030-RG-17	52828	20	99	91	77	64
Ruadhi Gilliam	9030	9030-RG-18	52517	22	96	88	84	61
Ruadhi Gilliam	9030	9030-RG-19	50241	25	97	92	75	67
Ruadhi Gilliam	9030	9030-RG-20	52849	27	97	86	79	64
